checkpoint,perplexity,loss,num_samples_processed,checkpoint_step
checkpoint-1,,,,1
checkpoint-2,,,,2
checkpoint-4,,,,4
checkpoint-8,,,,8
checkpoint-16,,,,16
checkpoint-32,,,,32
checkpoint-64,,,,64
checkpoint-128,,,,128
checkpoint-192,,,,192
checkpoint-256,,,,256
checkpoint-320,,,,320
checkpoint-384,,,,384
checkpoint-448,,,,448
checkpoint-512,,,,512
checkpoint-598,,,,598
checkpoint-683,,,,683
checkpoint-768,,,,768
checkpoint-853,,,,853
checkpoint-938,,,,938
checkpoint-1024,,,,1024
checkpoint-1126,,,,1126
checkpoint-1229,,,,1229
checkpoint-1332,,,,1332
checkpoint-1434,,,,1434
checkpoint-1536,,,,1536
checkpoint-1638,,,,1638
checkpoint-1740,,,,1740
checkpoint-1843,,,,1843
checkpoint-1946,,,,1946
checkpoint-2048,,,,2048
checkpoint-2102,,,,2102
checkpoint-2156,,,,2156
checkpoint-2210,,,,2210
checkpoint-2263,,,,2263
checkpoint-2316,,,,2316
checkpoint-2370,,,,2370
checkpoint-2424,,,,2424
checkpoint-2477,,,,2477
checkpoint-2530,,,,2530
checkpoint-2584,,,,2584
checkpoint-2638,,,,2638
checkpoint-2692,,,,2692
checkpoint-2746,,,,2746
checkpoint-2799,,,,2799
checkpoint-2906,,,,2906
checkpoint-2960,,,,2960
checkpoint-3014,,,,3014
checkpoint-3121,,,,3121
checkpoint-3250,,,,3250
checkpoint-3380,,,,3380
checkpoint-3510,,,,3510
checkpoint-3639,,,,3639
checkpoint-3768,,,,3768
checkpoint-3898,,,,3898
checkpoint-4028,,,,4028
checkpoint-4157,,,,4157
checkpoint-4286,,,,4286
checkpoint-4416,,,,4416
checkpoint-4546,,,,4546
checkpoint-4675,,,,4675
checkpoint-4804,,,,4804
checkpoint-4934,,,,4934
checkpoint-5064,,,,5064
checkpoint-5193,,,,5193
checkpoint-5322,,,,5322
checkpoint-5452,,,,5452
checkpoint-5582,,,,5582
checkpoint-5711,,,,5711
checkpoint-5840,,,,5840
checkpoint-5970,,,,5970
checkpoint-6100,,,,6100
checkpoint-6229,,,,6229
checkpoint-6358,,,,6358
checkpoint-6488,,,,6488
checkpoint-6618,,,,6618
checkpoint-6747,,,,6747
checkpoint-7000,,,,7000
checkpoint-7253,,,,7253
checkpoint-7506,,,,7506
checkpoint-7760,,,,7760
checkpoint-8013,,,,8013
checkpoint-8266,,,,8266
checkpoint-8519,,,,8519
checkpoint-8772,,,,8772
checkpoint-9025,,,,9025
checkpoint-9278,,,,9278
checkpoint-9531,,,,9531
checkpoint-9784,,,,9784
checkpoint-10038,,,,10038
checkpoint-10291,,,,10291
checkpoint-10544,,,,10544
checkpoint-10797,,,,10797
checkpoint-11050,,,,11050
checkpoint-11303,,,,11303
checkpoint-11556,,,,11556
checkpoint-11810,,,,11810
checkpoint-12063,,,,12063
checkpoint-12316,,,,12316
checkpoint-12569,,,,12569
checkpoint-12822,,,,12822
