item,c_italian,c_english,t_overt_italian,t_overt_english,t_null_italian,t_null_english,hotspot_italian,hotspot_english
1, antonio è in giardino ., antonio is in the garden ., antonio chiama la giardiniera e lei pianta i fiori per lui ., antonio calls the gardener and she plants the flowers for him ., antonio chiama la giardiniera e pianta i fiori per lui ., antonio calls the gardener and plants the flowers for him ., pianta, plants
2, laura è in ufficio ., laura is in the office ., laura contatta l ’ avvocato e lui prepara il contratto per lei ., laura contacts the lawyer and he prepares the contract for her ., laura contatta l ’ avvocato e prepara il contratto per lei ., laura contacts the lawyer and prepares the contract for her ., prepara, prepares
3, marco ha un problema ., marco has a problem ., marco cerca l ’ elettricista e lei ripara la luce per lui ., marco looks for the electrician and she fixes the lights for him ., marco cerca l ’ elettricista e ripara la luce per lui ., marco looks for the electrician and fixes the lights for him ., ripara, fixes
4, elena esce stasera ., elena is going out tonight ., elena assume il babysitter e lui accudisce il bambino per lei ., elena hires the babysitter and he watches the child for her ., elena assume il babysitter e accudisce il bambino per lei ., elena hires the babysitter and watches the child for her ., accudisce, watches
5, paolo è in garage ., paolo is in the garage ., paolo chiama la meccanica e lei controlla il motore per lui ., paolo calls the mechanic and she checks the engine for him ., paolo chiama la meccanica e controlla il motore per lui ., paolo calls the mechanic and checks the engine for him ., controlla, checks
6, sara lancia un progetto ., sara is launching a project ., sara ingaggia il grafico e lui crea il logo per lei ., sara hires the designer and he creates the logo for her ., sara ingaggia il grafico e crea il logo per lei ., sara hires the designer and creates the logo for her ., crea, creates
7, luca apre un ristorante ., luca is opening a restaurant ., luca assume la cuoca e lei prepara il menu per lui ., luca hires the chef and she prepares the menu for him ., luca assume la cuoca e prepara il menu per lui ., luca hires the chef and prepares the menu for him ., prepara, prepares
8, anna scrive un libro ., anna is writing a book ., anna contatta il traduttore e lui traduce il testo per lei ., anna contacts the translator and he translates the text for her ., anna contatta il traduttore e traduce il testo per lei ., anna contacts the translator and translates the text for her ., traduce, translates
9, roberto ha un guasto ., roberto has a blackout ., roberto chiama l ’ installatrice e lei ripara la luce per lui ., roberto calls the electrician and she fixes the lights for him ., roberto chiama l ’ installatrice e ripara la luce per lui ., roberto calls the electrician and fixes the lights for him ., ripara, fixes
10, clara organizza un evento ., clara is organizing an event ., clara ingaggia il fotografo e lui scatta le foto per lei ., clara hires the photographer and he takes the photos for her ., clara ingaggia il fotografo e scatta le foto per lei ., clara hires the photographer and takes the photos for her ., scatta, takes
11, giovanni sviluppa un ’ app ., giovanni is developing an app ., giovanni assume la programmatrice e lei scrive il codice per lui ., giovanni hires the programmer and she writes the code for him ., giovanni assume la programmatrice e scrive il codice per lui ., giovanni hires the programmer and writes the code for him ., scrive, writes
12, francesca costruisce una villa ., francesca is building a villa ., francesca consulta l ’ architetto e lui disegna i piani per lei ., francesca consults the architect and he draws the plans for her ., francesca consulta l ’ architetto e disegna i piani per lei ., francesca consults the architect and draws the plans for her ., disegna, draws
